text	passage	paragraph	offset	before	after	evidence_edition	kind
ammianus--14	4	1	2229	vieturo	victuro	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--14	11	2	1191	eluctavit	ductavit	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--15	3	20	96	optemperarent	obtemperarent	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--15	5	28	160	saevium	saevum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--16	3	1	288	contentior	contemptior	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--16	3	20	31	praªtorio	praetorio	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--16	5	18	210	praecursatoribus	procursatoribus	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--16	6	11	424	mumero	numero	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--16	7	10	27	coivere	coiere	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--17	3	17	50	devehebantur	vehebantur	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--17	3	19	143	serabant	seruabant	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--17	4	19	277	contruncabat	contruncabant	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--17	5	23	189	opimantur	opinantur	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--18	1	22	108	opimabantur	opinabantur	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--18	2	23	52	Hiaspide	Iaspide	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--18	5	7	376	artandas	aptandas	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--20	2	6	315	procursare	procurare	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--21	4	17	132	bucinorum	bucinarum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--22	1	22	281	participern	participem	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--23	1	26	244	torminis	torminum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--23	3	21	75	descriptoribus	descriptionibus	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--23	4	21	53	expulsata	expugnata	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--24	1	11	82	certandums	certandum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--24	2	5	257	submoturus	summoturus	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--24	2	17	266	cunetis	cunctis	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--24	5	21	110	impe ratoris	imperatoris	perseus--stoa0023.stoa001.perseus-lat2	join
ammianus--25	1	27	236	ffcem	facem	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	2	20	419	vinclicant	vindicant	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	2	20	345	consultormn	consultorum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	2	23	289	rectoremª	rectorem	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	3	17	499	amicosª	amicos	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	4	8	381	declarabuntª	declarabunt	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	4	19	286	coxfugisse	confugisse	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	5	5	130	optimatetm	optimatem	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	5	6	94	excrcitus	exercitus	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	5	6	30	difliciles	difficiles	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	5	16	323	cadebantur	caedebantur	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	6	11	269	coronerisª	coroneris	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	6	11	222	itaª	ita	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--25	7	1	20	nimiu m	nimium	perseus--stoa0023.stoa001.perseus-lat2	join
ammianus--26	1	6	306	retcores	rectores	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	2	2	195	accepturiª	accepturi	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	2	6	322	coevente	coeunte	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	2	6	132	suscipicatusque	suspicatusque	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	2	7	385	abscia	abscisa	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	2	12	422	vestiasª	vestias	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	2	12	345	amasª	amas	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	2	14	475	apparatoris	apparitoris	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	2	14	320	clecoreque	decoreque	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	2	15	146	gnaviores	graviores	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	3	14	153	istantia	instantia	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	3	16	51	accedabat	accedebat	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	4	4	248	detestabant	detestabantur	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	5	2	470	commoventemª	commoventem	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	5	2	190	labafactans	labefactans	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	5	2	5	enª	en	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--26	6	21	102	supplitiorum	suppliciorum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--27	1	8	65	iurgatorio	obiurgatorio	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--27	1	19	51	repperat	reppererat	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--27	2	10	199	pemotus	permotus	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	2	5	179	uneficii	ueneficiis	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	2	6	307	velemen	velamen	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	2	19	130	nillilo	nihilo	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	2	20	172	postestatum	potestatum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	3	24	282	furosis	furoris	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	5	6	413	apuc	apud	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	5	6	345	umbracul	umbraculi	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	5	15	410	matro narum	matronarum	perseus--stoa0023.stoa001.perseus-lat2	join
ammianus--28	5	22	85	plodendum	plaudendum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	6	8	177	eonglobati	conglobati	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	6	9	302	leforme	deforme	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	6	23	240	adflietis	afflictis	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	6	26	108	rapinarmn	rapinarum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--28	7	9	343	rmerita	merita	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--29	3	4	3	nanetus	nanctus	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--29	3	10	194	praemonebatur	praemonebat	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--29	4	2	144	inconvolutos	convolutos	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--29	7	1	131	resposcendum	reposcendum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--29	7	10	380	conbustos	combustos	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--29	7	14	43	certaminlum	certaminum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--29	8	3	256	nmninis	numinis	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--30	1	12	136	insisidentes	insidentes	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--30	3	4	122	liminia	limina	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--30	3	9	60	indoctmn	indoctum	perseus--stoa0023.stoa001.perseus-lat2	replace
